Affenpinscher,25-30,3-4
Afghan Hound,68-74,25-34
Airedale Terrier,56-61,20-29
Akita,66-71,34-50
Alaskan Malamute,58-63,34-39
American Bulldog,53-71,34-54
American English Coonhound,56-66,25-34
American Eskimo Dog,23-30,5-10
American Foxhound,53-64,25-34
American Hairless Terrier,18-33,3-7
American Leopard Hound,46-61,18-32
American Staffordshire Terrier,43-48,23-36
American Water Spaniel,38-46,11-20
Anatolian Shepherd Dog,71-79,41-68
Appenzeller Sennenhund,50-54,22-32
Australian Cattle Dog,43-51,16-22
Australian Kelpie,43-51,14-20
Australian Shepherd,51-58,16-32
Australian Stumpy Tail Cattle Dog,43-51,16-20
Australian Terrier,23,5-6
Azawakh,60-74,20-25
Barbet,55-65,17-28
Basenji,41-43,9-11
Basset Hound,33-38,20-29
Beagle,33-41,9-16
Bearded Collie,51-56,18-27
Beauceron,65-70,32-45
Bedlington Terrier,38-43,8-10
Belgian Laekenois,61-66,25-30
Belgian Malinois,61-66,25-30
Belgian Sheepdog,56-61,20-29
Belgian Tervuren,61-66,25-30
Bergamasco Sheepdog,58-62,26-38
Berger Picard,60-65,23-32
Bernese Mountain Dog,58-70,36-50
Bichon Frise,23-30,3-6
Black and Tan Coonhound,58-69,25-34
Black Russian Terrier,66-76,36-61
Bloodhound,63-69,36-50
Bluetick Coonhound,56-69,23-36
Boerboel,61-69,64-90
Border Collie,46-56,14-20
Border Terrier,28,5-7
Borzoi,71-86,27-41
Boston Terrier,38,4.5-11
Bouvier des Flandres,59-70,32-36
Boxer,57-63,27-32
Boykin Spaniel,36-46,13-18
Bracco Italiano,58-69,25-40
Braque du Bourbonnais,48-69,16-27
Braque Francais Pyrenean,52-69,16-28
Briard,58-69,32-39
Brittany,47-52,14-18
Broholmer,75-90,40-70
Brussels Griffon,18-20,3-6
Bull Terrier,35-38,22-38
Bulldog,31-40,23-25
Bullmastiff,63.5-68.5,50-59
Cairn Terrier,28-31,6-7.5
Canaan Dog,51-61,18-25
Cane Corso,58-70,45-50
Cardigan Welsh Corgi,25-30,11.5-17
Cavalier King Charles Spaniel,30-33,5.9-8.2
Cesky Terrier,28-33,6-10
Chesapeake Bay Retriever,53-66,25-36
Chihuahua,15-23,1-3
Chinese Crested,23-33,3-5
Chinese Shar-Pei,46-51,18-25
Chinook,58-69,29-41
Chow Chow,46-56,20-32
Cirneco dell'Etna,42-52,10-12
Clumber Spaniel,43-51,25-39
Cocker Spaniel,36-39,12-15
Collie,56-61,20-29
Coton de Tulear,25-30,3-6
Curly-Coated Retriever,63.5-68.5,27-36
Dachshund,13-18,4-5
Dalmatian,56-61,22-27
Dandie Dinmont Terrier,20-28,8-11
Doberman Pinscher,63-72,27-45
Dogue de Bordeaux,58-69,54-65
English Cocker Spaniel,38-43,12-15
English Foxhound,56-64,25-34
English Setter,61-69,25-36
English Springer Spaniel,46-51,18-23
English Toy Spaniel,23-28,3.2-6.3
Entlebucher Mountain Dog,41-50,16-20
Field Spaniel,43-46,16-25
Finnish Lapphund,40-52,15-24
